"","date","Country","ISO3","confirmed","death","recovered","confirmed_cum_per_million","death_cum_per_million","confirmed_cum","death_cum","confirmed_cum_per_million_lag_01","death_cum_per_million_lag_01","confirmed_cum_per_million_lag_02","death_cum_per_million_lag_02","confirmed_cum_per_million_lag_03","death_cum_per_million_lag_03","confirmed_cum_per_million_lag_04","death_cum_per_million_lag_04","confirmed_cum_per_million_lag_05","death_cum_per_million_lag_05","confirmed_cum_per_million_lag_06","death_cum_per_million_lag_06","confirmed_cum_per_million_lag_07","death_cum_per_million_lag_07","confirmed_cum_per_million_lag_08","death_cum_per_million_lag_08","confirmed_cum_per_million_lag_09","death_cum_per_million_lag_09","confirmed_cum_per_million_lag_10","death_cum_per_million_lag_10","confirmed_cum_per_million_lag_11","death_cum_per_million_lag_11","confirmed_cum_per_million_lag_12","death_cum_per_million_lag_12","confirmed_cum_per_million_lag_13","death_cum_per_million_lag_13","confirmed_cum_per_million_lag_14","death_cum_per_million_lag_14"
"603",2020-02-13,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0
"604",2020-02-14,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0
"605",2020-02-15,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0
"606",2020-02-16,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0
"607",2020-02-17,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0
"608",2020-02-18,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0
"609",2020-02-19,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0
"610",2020-02-20,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0
"611",2020-02-21,"Italy","ITA",17,1,0,0.330787219996061,0.016539360999803,20,1,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0
"612",2020-02-22,"Italy","ITA",42,1,1,1.02544038198779,0.0330787219996061,62,2,0.330787219996061,0.016539360999803,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0
